device_id,ts,bat,acc1,acc2,acc3,acc4,acc5,wei,tmp1,tmp2,tmp3,lat,lon,ts_gps,checksum
f6f6f6f6,1544693658,4073,598,2,0,0,0,3.9558655647889586e-42,241,202,187,3449.445556640625,7117.271484375,1544704075,12
f3f3f3f3,1544693115,3880,600,0,0,0,0,4.915755012851458e-42,267,238,227,3449.44091796875,7117.279296875,1544704079,35
f7f7f7f7,1544691963,4028,600,0,0,0,0,,374,377,359,0,0,0,ea
f5f5f5f5,1544692971,4034,600,0,0,0,0,1.8216880036222622e-44,331,341,336,0,0,1544699587,16
f6f6f6f6,1544693697,4073,599,1,0,0,0,4.4785498919821154e-42,246,203,187,3449.42919921875,7117.30419921875,1544704114,b5
f3f3f3f3,1544693155,3880,600,0,0,0,0,4.304788882405838e-42,271,239,227,3449.41748046875,7117.3125,1544704118,79
f7f7f7f7,1544692002,4047,600,0,0,0,0,0,374,377,359,0,0,0,4f
f5f5f5f5,1544693009,4034,600,0,0,0,0,2.6624670822171524e-44,337,345,341,0,0,1544699587,e0
f6f6f6f6,1544693736,4073,600,0,0,0,0,4.1254226789722615e-42,245,204,188,3449.3896484375,7117.29833984375,1544704153,6f
f3f3f3f3,1544693194,3880,600,0,0,0,0,4.2935784946912395e-42,267,239,227,3449.41943359375,7117.2802734375,1544704156,a7
f4f4f4f4,1544689833,4086,600,0,0,0,0,,286,284,281,3449.448486328125,7117.2470703125,1544704172,bf
f7f7f7f7,1544692042,4034,600,0,0,0,0,,374,377,359,0,0,0,20
f5f5f5f5,1544693048,4034,600,0,0,0,0,3.923635700109488e-44,337,345,341,0,0,1544699587,c6
f6f6f6f6,1544693775,4066,599,1,0,0,0,4.358038224050181e-42,239,204,188,3449.401123046875,7117.287109375,1544704191,67
f3f3f3f3,1544693233,3880,597,1,1,0,1,4.2473356453685205e-42,267,239,227,3449.332275390625,7117.35498046875,1544704196,ea
f4f4f4f4,1544689873,4079,600,0,0,0,0,,287,286,283,3449.447998046875,7117.2490234375,1544704211,a4
f7f7f7f7,1544692081,4047,600,0,0,0,0,,374,377,359,0,0,0,1e
f5f5f5f5,1544693086,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,bf
f3f3f3f3,1544693273,3880,600,0,0,0,0,4.32861095629936e-42,262,239,228,3449.394775390625,7117.2958984375,1544704236,64
f4f4f4f4,1544689912,4086,600,0,0,0,0,,289,288,284,3449.449462890625,7117.2431640625,1544704250,ad
f7f7f7f7,1544692120,4028,600,0,0,0,0,,374,377,359,0,0,0,88
f5f5f5f5,1544693125,4034,600,0,0,0,0,0,337,345,341,0,0,1544699587,67
f3f3f3f3,1544693312,3880,600,0,0,0,0,4.313196673191787e-42,259,239,228,3449.348388671875,7117.33740234375,1544704275,fd
f7f7f7f7,1544692160,4041,600,0,0,0,0,3.923635700109488e-44,374,377,359,0,0,0,b7
f5f5f5f5,1544693164,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,4a
f2f2f2f2,1544693056,3983,600,0,0,0,0,1.2037153808550179e-42,340,330,287,3449.448486328125,7117.24267578125,1544704324,a8
f6f6f6f6,1544693892,4066,600,0,0,0,0,4.450523922695619e-42,233,203,188,3449.4033203125,7117.29345703125,1544704309,2c
f3f3f3f3,1544693352,3880,600,0,0,0,0,4.297782390084214e-42,258,238,228,3449.352294921875,7117.3349609375,1544704314,2b
f4f4f4f4,1544689991,4079,600,0,0,0,0,,294,292,288,3449.44873046875,7117.24755859375,1544704330,ae
f7f7f7f7,1544692199,4028,600,0,0,0,0,,374,377,359,0,0,0,f9
f5f5f5f5,1544693202,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,22
f6f6f6f6,1544693931,4066,600,0,0,0,0,4.4463200273026446e-42,232,203,188,3449.39111328125,7117.29443359375,1544704348,52
f3f3f3f3,1544693391,3880,600,0,0,0,0,4.2865720023696154e-42,258,238,228,3449.398681640625,7117.2958984375,1544704354,ad
f4f4f4f4,1544690031,4079,600,0,0,0,0,,296,296,290,3449.447265625,7117.24755859375,1544704368,b8
f7f7f7f7,1544692238,4041,600,0,0,0,0,1.1210387714598537e-44,374,377,359,0,0,0,6e
f5f5f5f5,1544693241,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,16
f2f2f2f2,1544693133,3976,598,2,0,0,0,1.1995114854620434e-42,342,335,292,3449.455810546875,7117.24951171875,1544704396,f1
f6f6f6f6,1544693970,4066,600,0,0,0,0,4.21510578068905e-42,232,203,188,3449.4658203125,7117.2275390625,1544704385,e9
f3f3f3f3,1544693430,3880,599,1,0,0,0,4.327209657835035e-42,256,238,228,3449.3994140625,7117.298828125,1544704392,a9
f4f4f4f4,1544690070,4079,600,0,0,0,0,2.802596928649634e-44,301,299,293,3449.45068359375,7117.24462890625,1544704409,8e
f7f7f7f7,1544692278,4028,600,0,0,0,0,2.942726775082116e-44,374,377,359,0,0,0,3e
f5f5f5f5,1544693279,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,f1
f2f2f2f2,1544693171,3976,599,1,0,0,0,1.1574725315322989e-42,348,336,294,3449.442138671875,7117.25,1544704433,21
f6f6f6f6,1544694009,4066,600,0,0,0,0,4.5542200090556555e-42,231,204,189,3449.3916015625,7117.30810546875,1544704442,12
f3f3f3f3,1544693470,3880,600,0,0,0,0,4.4014784764442504e-42,256,238,228,3449.419921875,7117.3720703125,1544704431,ff
f4f4f4f4,1544690110,4079,600,0,0,0,0,,304,302,294,3449.45361328125,7117.23291015625,1544704448,a2
f7f7f7f7,1544692317,4041,600,0,0,0,0,2.5223372357846707e-44,374,377,359,0,0,0,27
f5f5f5f5,1544693318,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,a9
f2f2f2f2,1544693210,3976,600,0,0,0,0,9.991258050635946e-43,341,335,294,3449.457763671875,7117.25048828125,1544704474,88
f6f6f6f6,1544694048,4066,600,0,0,0,0,4.5542200090556555e-42,230,204,189,3449.393798828125,7117.31005859375,1544704468,a0
f3f3f3f3,1544693509,3880,600,0,0,0,0,4.390268088729652e-42,253,237,228,3449.4072265625,7117.3388671875,1544704473,a4
f4f4f4f4,1544690149,4079,600,0,0,0,0,,302,301,293,3449.453369140625,7117.24072265625,1544704487,ec
f7f7f7f7,1544692356,4028,600,0,0,0,0,,374,377,359,0,0,0,98
f5f5f5f5,1544693357,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,93
f2f2f2f2,1544693248,3976,600,0,0,0,0,9.977245065992698e-43,330,332,292,3449.46240234375,7117.2451171875,1544704511,aa
f6f6f6f6,1544694087,4066,600,0,0,0,0,4.550016113662681e-42,229,203,189,3449.390869140625,7117.30419921875,1544704508,ee
f3f3f3f3,1544693548,3880,600,0,0,0,0,4.3776564025507285e-42,253,237,228,3449.42431640625,7117.3955078125,1544704511,71
f4f4f4f4,1544690189,4079,600,0,0,0,0,,302,299,292,3449.44970703125,7117.24267578125,1544704526,80
f7f7f7f7,1544692396,4041,599,1,0,0,0,,374,377,359,0,0,0,ed
f5f5f5f5,1544693395,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,6d
f2f2f2f2,1544693287,3976,600,0,0,0,0,1.0888089067803829e-42,332,330,293,3449.4677734375,7117.24365234375,1544704546,8d
f6f6f6f6,1544694126,4066,600,0,0,0,0,4.548614815198356e-42,229,203,189,3449.392578125,7117.30126953125,1544704545,17
f3f3f3f3,1544693588,3880,600,0,0,0,0,4.3692486117647796e-42,252,237,228,3449.41015625,7117.34228515625,1544704551,5
f4f4f4f4,1544690228,4079,597,3,0,0,0,,301,298,292,3449.459228515625,7117.25634765625,1544704565,1c
